Title,Release Year,Genre,IMDb Rating,Duration,Age Rating,Production Country,Streaming Services,URL
The Wild Robot,2024,"Animation, Family Animation, Kids & Family, Science-Fiction",8.2,1h 42min,U,"Japan, United States","Amazon Video, Apple TV, Crunchyroll, Hungama Play, VI movies and tv, Zee5",https://www.justwatch.com/in/movie/the-wild-robot
Dragon,2025,"Comedy, Drama, RomCom, Romance",7.9,2h 37min,UA16+,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/movie/dragon-2025
Ballerina,2025,"Action & Adventure, Action Thriller, Crime, Mystery & Thriller",7.0,2h 5min,A,United States,"Amazon Video, Apple TV, Crunchyroll",https://www.justwatch.com/in/movie/ballerina-2024
Stolen,2023,"Drama, Mystery & Thriller",7.5,1h 34min,UA16+,India,"Amazon Prime Video, Amazon Prime Video with Ads, Amazon Video, Crunchyroll",https://www.justwatch.com/in/movie/stolen-2023-0
Jarann,2025,"Drama, Horror, Horror Thriller",7.5,2h 5min,,India,"Bookmyshow, Crunchyroll, Zee5",https://www.justwatch.com/in/movie/jarann
Warfare,2025,"Action & Adventure, Drama, War & Military, War Drama",7.2,1h 35min,A,"United States, United Kingdom","Amazon Prime Video, Amazon Prime Video with Ads, Amazon Video, Crunchyroll",https://www.justwatch.com/in/movie/warfare
Ronth,2025,"Bollywood, Crime, Drama",7.2,2h 2min,UA16+,India,Crunchyroll,https://www.justwatch.com/in/movie/ronth
The Fantastic Four: First Steps,2025,"Action & Adventure, Documentary, Science-Fiction",7.4,1h 55min,UA13+,United States,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/the-fantastic-four
F1 The Movie,2025,"Action & Adventure, Drama, Sport, Sports Drama",7.9,2h 36min,UA16+,United States,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/f1
DNA,2025,"Bollywood, Drama",7.2,2h 20min,UA16+,India,Crunchyroll,https://www.justwatch.com/in/movie/dna-2025
How to Train Your Dragon,2025,"Action & Adventure, Comedy, Drama, Fantasy, Kids & Family, Science-Fiction",7.9,2h 5min,UA7+,United States,"Amazon Video, Apple TV, Bookmyshow, Crunchyroll, Zee5",https://www.justwatch.com/in/movie/how-to-train-your-dragon-2025-0
Madras Matinee,2025,"Drama, Emotional Drama",8.0,2h 15min,U,India,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll, Sun Nxt",https://www.justwatch.com/in/movie/madras-matinee
Thunderbolts*,2025,"Action & Adventure, Crime, Drama, Fantasy, Science-Fiction",7.2,2h 7min,UA13+,United States,Crunchyroll,https://www.justwatch.com/in/movie/thunderbolts
KPop Demon Hunters,2025,"Action & Adventure, Animation, Comedy, Fantasy, Kids & Family, Music & Musical, Western Animation",7.7,1h 36min,UA7+,United States,"Crunchyroll, Netflix",https://www.justwatch.com/in/movie/k-pop-demon-hunters
3BHK,2025,"Bollywood, Drama",7.4,2h 19min,U,India,"Amazon Prime Video, Amazon Prime Video with Ads, Amazon Video, Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/3bhk
Sinners,2025,"Action & Adventure, Drama, Horror, Horror Thriller, Music & Musical, Mystery & Thriller",7.6,2h 17min,A,"Canada, United States, Australia","Amazon Video, Apple TV, Crunchyroll",https://www.justwatch.com/in/movie/sinners-2025
Mission: Impossible - Dead Reckoning Part One,2023,"Action & Adventure, Action Thriller, Mystery & Thriller",7.6,2h 44min,UA,United States,"Amazon Video, Apple TV, Crunchyroll, JioHotstar, Zee5",https://www.justwatch.com/in/movie/mission-impossible-7
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,2025,"Biopics, Drama, History",8.0,2h 15min,UA16+,"India, Ireland",Crunchyroll,https://www.justwatch.com/in/movie/kesari-chapter-2
Bring Her Back,2025,"Horror, Horror Thriller",7.2,1h 44min,A,"Australia, United States",Crunchyroll,https://www.justwatch.com/in/movie/bring-her-back
Sitaare Zameen Par,2025,"Bollywood, Comedy, Drama, Sport, Sports Drama",7.0,2h 35min,UA13+,India,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/sitaare-zameen-par
Kaalidhar Laapata,2025,"Bollywood, Comedy, Drama",7.9,1h 49min,U,India,"Crunchyroll, Zee5",https://www.justwatch.com/in/movie/kaalidhar-laapata
Mahavatar Narsimha,2025,"Action & Adventure, Animation, Dark Fantasy, Drama, Fantasy",9.5,2h 10min,UA,India,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/raid-2-2025
Padakkalam,2025,"Bollywood, Comedy, Fantasy",7.2,2h 4min,U,India,Crunchyroll,https://www.justwatch.com/in/movie/padakkalam
Son of Sardaar 2,2025,"Bollywood, Comedy, Drama",7.2,2h 22min,UA13+,India,Crunchyroll,https://www.justwatch.com/in/movie/son-of-sardaar-2
Eleven,2025,"Crime, Mystery Thriller",7.4,2h 15min,UA,India,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll, Lionsgate Play, Lionsgate Play Amazon Channel, Lionsgate Play Apple TV Channel, ManoramaMAX Amazon Channel, ManoramaMax, aha",https://www.justwatch.com/in/movie/eleven-2025
Superman,2025,"Action & Adventure, Fantasy, Science-Fiction",7.5,2h 10min,UA13+,United States,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/superman-2025
Dhadak 2,2025,"Drama, Mystery & Thriller, Romance, Romantic Drama",8.0,2h 26min,UA16+,India,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/dhadak-2
Chhaava,2025,"Action & Adventure, Drama, History, Period Drama",7.3,2h 41min,A,India,"Crunchyroll, Netflix, Plex Player",https://www.justwatch.com/in/movie/chaava
Ne Zha 2,2025,"Action & Adventure, Animation, Drama, Fantasy, Western Animation",8.1,2h 24min,UA7+,China,Crunchyroll,https://www.justwatch.com/in/movie/ne-zha-2
Tourist Family,2025,"Comedy, Drama, Dramedy, Kids & Family",8.2,2h 8min,U,India,Crunchyroll,https://www.justwatch.com/in/movie/tourist-family-2025
Mission: Impossible - The Final Reckoning,2025,"Action & Adventure, Action Thriller, Mystery & Thriller, Spies",7.4,2h 50min,UA13+,United States,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/mission-impossible-dead-reckoning-part-two
Maalik,2025,"Action & Adventure, Bollywood, Crime, Drama, Mystery & Thriller",7.1,2h 30min,A,India,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/maalik-2025
