Title,Release Year,Genre,IMDb Rating,Duration,Age Rating,Production Country,Streaming Services,URL
Pushpa: The Rule - Part 2,2024,"Action & Adventure, Action Thriller, Crime, Drama, Mystery & Thriller",6.1,3h 21min,UA,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/movie/pushpa-the-rule-part-2
The Wild Robot,2024,"Animation, Family Animation, Kids & Family, Science-Fiction",8.2,1h 42min,U,"Japan, United States","Amazon Video, Apple TV, Crunchyroll, Hungama Play, VI movies and tv, Zee5",https://www.justwatch.com/in/movie/the-wild-robot
Dragon,2025,"Comedy, Drama, RomCom, Romance",7.9,2h 37min,UA16+,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/movie/dragon-2025
Saiyaara,2025,"Drama, Romance, Romantic Drama",0.0,2h 36min,UA16+,India,Crunchyroll,https://www.justwatch.com/in/movie/saiyaara
Ballerina,2025,"Action & Adventure, Action Thriller, Crime, Mystery & Thriller",7.0,2h 5min,A,United States,"Amazon Video, Apple TV, Crunchyroll",https://www.justwatch.com/in/movie/ballerina-2024
Until Dawn,2025,"Drama, Horror, Mystery & Thriller",5.8,1h 43min,A,"United States, Hungary","Amazon Video, Apple TV, Crunchyroll, Netflix, Zee5",https://www.justwatch.com/in/movie/until-dawn
Companion,2025,"Horror, Mystery Thriller, Science-Fiction",6.9,1h 37min,A,United States,"Amazon Video, Apple TV, Crunchyroll, JioHotstar",https://www.justwatch.com/in/movie/companion-2025
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,"Action & Adventure, Animation, Classic Japanese Anime, Fantasy, Mystery & Thriller",,2h 35min,,Japan,Crunchyroll,https://www.justwatch.com/in/movie/demon-slayer-kimetsu-no-yaiba-infinity-castle
Stolen,2023,"Drama, Mystery & Thriller",7.5,1h 34min,UA16+,India,"Amazon Prime Video, Amazon Prime Video with Ads, Amazon Video, Crunchyroll",https://www.justwatch.com/in/movie/stolen-2023-0
Jarann,2025,"Drama, Horror, Horror Thriller",7.5,2h 5min,,India,"Bookmyshow, Crunchyroll, Zee5",https://www.justwatch.com/in/movie/jarann
Jurassic World: Rebirth,2025,"Action & Adventure, Invasion, Mystery & Thriller, Science-Fiction",6.2,2h 13min,UA13+,"India, Taiwan, United States, United Kingdom, Malta","Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/jurassic-world-4
Bruce Almighty,2003,"Comedy, Fantasy, Modern Fantasy",6.8,1h 41min,UA,United States,"Crunchyroll, JioHotstar",https://www.justwatch.com/in/movie/bruce-almighty
Warfare,2025,"Action & Adventure, Drama, War & Military, War Drama",7.2,1h 35min,A,"United States, United Kingdom","Amazon Prime Video, Amazon Prime Video with Ads, Amazon Video, Crunchyroll",https://www.justwatch.com/in/movie/warfare
Ronth,2025,"Bollywood, Crime, Drama",7.2,2h 2min,UA16+,India,Crunchyroll,https://www.justwatch.com/in/movie/ronth
The Fantastic Four: First Steps,2025,"Action & Adventure, Documentary, Science-Fiction",7.4,1h 55min,UA13+,United States,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/the-fantastic-four
F1 The Movie,2025,"Action & Adventure, Drama, Sport, Sports Drama",7.9,2h 36min,UA16+,United States,"Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/f1
Ne Zha,2019,"Action & Adventure, Animation, Fantasy, Mystery & Thriller",7.4,1h 50min,,China,Crunchyroll,https://www.justwatch.com/in/movie/ne-zha
Aashiqui 2,2013,"Bollywood, Drama, Music & Musical, Romance",7.1,2h 12min,U,India,Crunchyroll,https://www.justwatch.com/in/movie/aashiqui-2
Kung Fu Hustle,2004,"Action & Adventure, Action Comedy, Comedy, Crime, Fantasy, Martial Art",7.7,1h 39min,UA,"China, Hong Kong","Amazon Video, Apple TV, Crunchyroll, Netflix, Sony Pictures Amazon Channel",https://www.justwatch.com/in/movie/kung-fu-hustle
Bou Buttu Bhuta,2025,"Comedy, Drama, Horror, Horror Comedy",,2h 56min,UA16+,India,Crunchyroll,https://www.justwatch.com/in/movie/bou-buttu-bhuta
The Amateur,2025,"Action & Adventure, Action Thriller, Mystery & Thriller",6.5,2h 2min,UA16+,United States,"Crunchyroll, JioHotstar",https://www.justwatch.com/in/movie/amateur-2024
Alappuzha Gymkhana,2025,"Action & Adventure, Action Comedy, Comedy, Drama, Dramedy",6.8,2h 20min,UA7+,India,"Crunchyroll, Sony Liv, aha",https://www.justwatch.com/in/movie/alappuzha-gymkhana
Black Bag,2025,"Drama, Mystery & Thriller, Romance",6.7,1h 33min,A,United States,"Amazon Video, Apple TV, Crunchyroll, JioHotstar, Zee5",https://www.justwatch.com/in/movie/black-bag
Children of the Salt,2017,"Drama, Emotional Drama",5.9,1h 43min,,Venezuela,"Crunchyroll, Plex Player",https://www.justwatch.com/in/movie/children-of-the-salt
DNA,2025,"Bollywood, Drama",7.2,2h 20min,UA16+,India,Crunchyroll,https://www.justwatch.com/in/movie/dna-2025
365 Days,2020,"Drama, Made in Europe, Romance, Romantic Drama, Romantic Thriller",3.3,1h 54min,A,Poland,"Crunchyroll, Netflix",https://www.justwatch.com/in/movie/365-days
The Old Guard 2,2025,"Action & Adventure, Action Thriller, Fantasy, Mystery & Thriller",5.1,1h 47min,A,"Italy, United States","Crunchyroll, Netflix",https://www.justwatch.com/in/movie/the-old-guard-2
Bhairavam,2025,"Action & Adventure, Action Thriller, Bollywood, Crime, Mystery & Thriller",4.4,2h 35min,A,India,"Bookmyshow, Crunchyroll, Zee5",https://www.justwatch.com/in/movie/bhairavam
Karate Kid: Legends,2025,"Action & Adventure, Drama, Kids & Family, Sport",6.3,1h 34min,UA13+,"United States, Canada","Amazon Video, Apple TV, Crunchyroll, Zee5",https://www.justwatch.com/in/movie/karate-kid-legends
Jurassic World,2015,"Action & Adventure, Invasion, Mystery & Thriller, Science-Fiction",6.9,2h 4min,UA,United States,"Amazon Video, Apple TV, Crunchyroll, Hungama Play, Zee5",https://www.justwatch.com/in/movie/jurassic-world
Sister Midnight,2025,"Comedy, Drama, Dramedy",5.8,1h 47min,A,"Sweden, United Kingdom, India",Crunchyroll,https://www.justwatch.com/in/movie/sister-midnight
How to Train Your Dragon,2025,"Action & Adventure, Comedy, Drama, Fantasy, Kids & Family, Science-Fiction",7.9,2h 5min,UA7+,United States,"Amazon Video, Apple TV, Bookmyshow, Crunchyroll, Zee5",https://www.justwatch.com/in/movie/how-to-train-your-dragon-2025-0
Materialists,2025,"Comedy, Drama, RomCom, Romance",6.4,1h 57min,A,"Finland, United States","Apple TV, Bookmyshow, Crunchyroll",https://www.justwatch.com/in/movie/materialists
Madras Matinee,2025,"Drama, Emotional Drama",8.0,2h 15min,U,India,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll, Sun Nxt",https://www.justwatch.com/in/movie/madras-matinee
Bubblegum,2023,"Bollywood, Drama, Romance",6.3,2h 26min,A,India,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll, aha",https://www.justwatch.com/in/movie/bubblegum
8 Vasantalu,2025,"Drama, Romance, Romantic Drama",6.9,2h 18min,UA16+,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/movie/8-vasantalu
Bhool Chuk Maaf,2025,"Bollywood, Comedy, Fantasy, Romance, Science-Fiction",5.8,2h 1min,UA13+,"India, United States","Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/movie/bhool-chuk-maaf
Aap Jaisa Koi,2025,"Bollywood, Comedy, Drama, RomCom, Romance",5.8,1h 55min,UA13+,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/movie/aap-jaisa-koi-2025
Novocaine,2025,"Action & Adventure, Action Comedy, Action Thriller, Comedy, Crime, Mystery & Thriller",6.5,1h 50min,A,"South Africa, United States, Canada","Amazon Prime Video, Amazon Prime Video with Ads, Amazon Video, Apple TV, Crunchyroll, Zee5",https://www.justwatch.com/in/movie/novocaine-2025
