Title,Release Year,Genre,IMDb Rating,Duration,Age Rating,Production Country,Streaming Services,URL
Naruto Shippūden,2007,"Action & Adventure, Animation, Classic Japanese Anime, Comedy, Drama, Fantasy, Science-Fiction",8.7,23min,U,Japan,"Crunchyroll, Crunchyroll Amazon Channel, Netflix",https://www.justwatch.com/in/tv-show/naruto-shippuden
Squid Game,2021,"Action & Adventure, Crime, Drama, Mystery Thriller",8.0,58min,A,South Korea,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/squid-game
Gandii Baat,2018,"Bollywood, Crime, Drama, Mystery & Thriller",3.4,43min,A,India,Crunchyroll,https://www.justwatch.com/in/tv-show/gandii-baat
The Great Indian Kapil Show,2024,"Comedy, Talkshows",6.4,1h 1min,UA13+,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project
Undercover High School,2025,"Action & Adventure, Action Comedy, Comedy, Drama",,1h 8min,,South Korea,"Amazon Prime Video, Channel K Amazon Channel, Crunchyroll",https://www.justwatch.com/in/tv-show/undercover-high-school
The Walking Dead,2010,"Action & Adventure, Drama, Horror, Mystery & Thriller, Science-Fiction, Zombie",8.1,46min,U,United States,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/the-walking-dead
When Life Gives You Tangerines,2025,"Drama, Romantic Drama",,1h 2min,UA13+,South Korea,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/when-life-gives-you-tangerines
Aashram,2020,"Bollywood, Crime, Drama, Mystery & Thriller",6.6,42min,,India,"Amazon MX Player, Crunchyroll, MX Player",https://www.justwatch.com/in/tv-show/aashram
Jujutsu Kaisen,2020,"Action & Adventure, Animation, Classic Japanese Anime, Fantasy, Mystery & Thriller, Science-Fiction",8.5,24min,UA16+,"Japan, United States","Amazon Prime Video, Anime Times Amazon Channel, Crunchyroll, Crunchyroll Amazon Channel, Netflix",https://www.justwatch.com/in/tv-show/jujutsu-kaisen
Dept. Q,2025,"Crime, Detective Crime, Drama, Mystery & Thriller",8.2,54min,A,"United Kingdom, United States","Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/department-q
Severance,2022,"Drama, Mystery Thriller, Psychological Drama, Science-Fiction",8.7,49min,A,United States,"Apple TV Plus Amazon Channel, Apple TV+",https://www.justwatch.com/in/tv-show/severance
Sakamoto Days,2025,"Action & Adventure, Animation, Classic Japanese Anime, Comedy, Crime, Mystery & Thriller",7.4,24min,UA16+,Japan,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/sakamoto-days
Spartacus,2010,"Action Adventure, Drama, Epic, Romance",8.5,53min,UA16+,United States,"Crunchyroll, Lionsgate Play, Lionsgate Play Amazon Channel, Lionsgate Play Apple TV Channel",https://www.justwatch.com/in/tv-show/spartacus
Special Ops,2020,"Action & Adventure, Action Thriller, Crime, Drama, Mystery & Thriller",8.6,49min,,India,"Crunchyroll, JioHotstar, VI movies and tv",https://www.justwatch.com/in/tv-show/special-ops
She,2020,"Bollywood, Crime, Drama",6.4,41min,,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/she
Rana Naidu,2023,"Action & Adventure, Bollywood, Crime, Drama",7.1,46min,A,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/rana-naidu
GOOD BOY,2025,"Action & Adventure, Action Comedy, Comedy, Crime, Drama, Romance",7.6,1h 8min,,South Korea,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/good-boy
Gotham,2014,"Action & Adventure, Crime, Drama, Mystery & Thriller, Science-Fiction, Superhero",7.8,43min,U,United States,Crunchyroll,https://www.justwatch.com/in/tv-show/gotham
MobLand,2025,"Crime, Drama, Psychological Drama",8.4,47min,UA16+,"United Kingdom, United States","Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/mobland
Dexter,2006,"Crime, Dark Crime, Detective Crime, Drama, Mystery & Thriller",8.6,53min,A,United States,"Crunchyroll, JioHotstar, Netflix",https://www.justwatch.com/in/tv-show/dexter
The Society,2019,"Drama, Mystery & Thriller, Reality TV, Science-Fiction, Young Adult Drama, Young Adult Dystopia",7.1,56min,,United States,"Crunchyroll, JioHotstar, Netflix",https://www.justwatch.com/in/tv-show/the-society
Debris,2021,"Drama, Mystery Thriller, Sci-Fi Drama, Science-Fiction",6.5,43min,,United States,Crunchyroll,https://www.justwatch.com/in/tv-show/debris
Rick and Morty,2013,"Action & Adventure, Animation, Comedy, Science-Fiction",9.0,22min,UA16+,United States,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/rick-and-morty
Chief of War,2025,"Drama, History, Period Drama",7.9,49min,A,United States,"Amazon Prime Video, Apple TV Plus Amazon Channel, Apple TV+",https://www.justwatch.com/in/tv-show/chief-of-war
The Chosen,2019,"Action & Adventure, Drama, History, Kids & Family, Religious Drama",9.2,58min,UA13+,United States,"Crunchyroll, Netflix, Plex Player",https://www.justwatch.com/in/tv-show/the-chosen-0
Countdown,2025,"Crime, Detective Crime, Drama, Mystery & Thriller",6.8,50min,,United States,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/countdown
Eyes of Wakanda,2025,"Action Adventure, Animation, Drama, Sci-Fi Drama, Science-Fiction, Superhero",6.4,30min,,United States,"Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/eyes-of-wakanda
Money Heist,2017,"Action & Adventure, Crime, Drama, Made in Europe, Mystery & Thriller, Organized Crime",8.2,54min,UA16+,Spain,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/paperhouse
Criminal Justice,2019,"Crime, Drama, Mystery Thriller",8.1,50min,,India,"Crunchyroll, VI movies and tv",https://www.justwatch.com/in/tv-show/criminal-justice-2019
From,2022,"Drama, Horror, Mystery Thriller, Science-Fiction",7.8,51min,,United States,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/from
Naagin,2015,"Action & Adventure, Bollywood, Drama, Fantasy, Mystery & Thriller, Science-Fiction",3.7,43min,,India,"Crunchyroll, JioHotstar, Zee5",https://www.justwatch.com/in/tv-show/naagin
The Royals,2025,"Comedy, Drama, Romance",4.3,41min,A,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/the-royals-2025
The Family Man,2019,"Action & Adventure, Bollywood, Comedy, Crime, Drama, Mystery & Thriller",8.7,45min,UA16+,India,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/the-family-man
